location,mapset,map,id0,lw,class,"m^2"
modis,mcd12q1,2004_lct1_reclass,234,0,5,106339508250.698975
modis,mcd12q1,2004_lct1_reclass,234,0,6,2575877.178573
modis,mcd12q1,2004_lct1_reclass,234,0,7,214656.431548
modis,mcd12q1,2004_lct1_reclass,234,5,1,1502773615049.189453
modis,mcd12q1,2004_lct1_reclass,234,5,2,24567213934.237640
modis,mcd12q1,2004_lct1_reclass,234,5,3,6115991047.661355
modis,mcd12q1,2004_lct1_reclass,234,7,1,1253561361730.193359
modis,mcd12q1,2004_lct1_reclass,234,7,2,18383606110.603516
modis,mcd12q1,2004_lct1_reclass,234,7,3,4654180748.818667
modis,mcd12q1,2004_lct1_reclass,234,10,1,2126305041801.697266
modis,mcd12q1,2004_lct1_reclass,234,10,2,13423325290.400934
modis,mcd12q1,2004_lct1_reclass,234,10,3,2738586753.686714
modis,mcd12q1,2004_lct1_reclass,234,11,1,42315222351.146484
modis,mcd12q1,2004_lct1_reclass,234,11,2,13937212787.524847
modis,mcd12q1,2004_lct1_reclass,234,11,3,840809242.372692
modis,mcd12q1,2004_lct1_reclass,234,12,1,1362167212631.630859
modis,mcd12q1,2004_lct1_reclass,234,12,2,7488933583.843122
modis,mcd12q1,2004_lct1_reclass,234,12,3,811186654.819100
modis,mcd12q1,2004_lct1_reclass,234,13,1,115699387291.964722
modis,mcd12q1,2004_lct1_reclass,234,13,2,4318458089.877410
modis,mcd12q1,2004_lct1_reclass,234,13,3,68260745.232197
modis,mcd12q1,2004_lct1_reclass,234,14,1,1096019640140.333496
modis,mcd12q1,2004_lct1_reclass,234,14,2,9243105942.451445
modis,mcd12q1,2004_lct1_reclass,234,14,3,758166516.226804
modis,mcd12q1,2004_lct1_reclass,234,16,1,121817310247.544830
modis,mcd12q1,2004_lct1_reclass,234,16,2,2331383503.040838
modis,mcd12q1,2004_lct1_reclass,234,16,3,1212164868.950395
modis,mcd12q1,2004_lct1_reclass,,0,0,80825659453.207794
modis,mcd12q1,2004_lct1_reclass,,0,1,1119862603.384806
modis,mcd12q1,2004_lct1_reclass,,0,2,10173641573.208405
modis,mcd12q1,2004_lct1_reclass,,0,3,2072078533.731203
modis,mcd12q1,2004_lct1_reclass,,0,6,794658109.589923
modis,mcd12q1,2004_lct1_reclass,,0,7,129437828.223318
modis,mcd12q1,2004_lct1_reclass,,5,1,1869228205.918456
modis,mcd12q1,2004_lct1_reclass,,5,2,1009099884.706136
modis,mcd12q1,2004_lct1_reclass,,5,3,92087609.134002
modis,mcd12q1,2004_lct1_reclass,,7,1,272399011.634147
modis,mcd12q1,2004_lct1_reclass,,7,2,341303726.160997
modis,mcd12q1,2004_lct1_reclass,,7,3,9230226.556555
modis,mcd12q1,2004_lct1_reclass,,10,1,39282126.973246
modis,mcd12q1,2004_lct1_reclass,,10,2,43145942.741106
modis,mcd12q1,2004_lct1_reclass,,10,3,1073282.157739
modis,mcd12q1,2004_lct1_reclass,,11,1,723392174.316066
modis,mcd12q1,2004_lct1_reclass,,11,2,2130035770.249130
modis,mcd12q1,2004_lct1_reclass,,11,3,40140752.699437
modis,mcd12q1,2004_lct1_reclass,,12,1,30910526.142882
modis,mcd12q1,2004_lct1_reclass,,12,2,7727631.535720
modis,mcd12q1,2004_lct1_reclass,,12,3,214656.431548
modis,mcd12q1,2004_lct1_reclass,,13,1,177950181.753119
modis,mcd12q1,2004_lct1_reclass,,13,2,196839947.729324
modis,mcd12q1,2004_lct1_reclass,,13,3,3434502.904765
modis,mcd12q1,2004_lct1_reclass,,14,1,21250986.723231
modis,mcd12q1,2004_lct1_reclass,,14,2,5151754.357147
modis,mcd12q1,2004_lct1_reclass,,16,1,149615532.788810
modis,mcd12q1,2004_lct1_reclass,,16,2,460223389.238490
modis,mcd12q1,2004_lct1_reclass,,16,3,9015570.125007
modis,mcd12q1,2005_lct1_reclass,41,0,0,1073282.157739
modis,mcd12q1,2005_lct1_reclass,41,0,1,1717251.452382
modis,mcd12q1,2005_lct1_reclass,41,0,2,47868384.235157
modis,mcd12q1,2005_lct1_reclass,41,0,3,693984243.194023
modis,mcd12q1,2005_lct1_reclass,41,0,5,1389471081.408944
modis,mcd12q1,2005_lct1_reclass,41,5,1,794228796.726827
modis,mcd12q1,2005_lct1_reclass,41,5,2,64826242.327433
modis,mcd12q1,2005_lct1_reclass,41,5,3,43575255.604202
modis,mcd12q1,2005_lct1_reclass,41,7,1,9874195.851198
modis,mcd12q1,2005_lct1_reclass,41,7,2,9659539.419651
modis,mcd12q1,2005_lct1_reclass,41,7,3,3005190.041669
modis,mcd12q1,2005_lct1_reclass,41,10,1,17816483.818467
modis,mcd12q1,2005_lct1_reclass,41,10,2,4078472.199408
modis,mcd12q1,2005_lct1_reclass,41,10,3,858625.726191
modis,mcd12q1,2005_lct1_reclass,41,11,1,7298318.672625
modis,mcd12q1,2005_lct1_reclass,41,11,2,34988998.342290
modis,mcd12q1,2005_lct1_reclass,41,11,3,4507785.062504
modis,mcd12q1,2005_lct1_reclass,41,12,1,94663486.312576
modis,mcd12q1,2005_lct1_reclass,41,12,2,8800913.693459
modis,mcd12q1,2005_lct1_reclass,41,12,3,1287938.589287
modis,mcd12q1,2005_lct1_reclass,41,13,1,22109612.449422
modis,mcd12q1,2005_lct1_reclass,41,13,2,3005190.041669
modis,mcd12q1,2005_lct1_reclass,41,14,1,384878981.765205
modis,mcd12q1,2005_lct1_reclass,41,14,2,17172514.523823
modis,mcd12q1,2005_lct1_reclass,41,14,3,1073282.157739
modis,mcd12q1,2005_lct1_reclass,41,16,2,429312.863096
modis,mcd12q1,2005_lct1_reclass,143,0,0,2790533.610121
modis,mcd12q1,2005_lct1_reclass,143,0,1,26832053.943474
modis,mcd12q1,2005_lct1_reclass,143,0,2,1287938.589287
modis,mcd12q1,2005_lct1_reclass,143,0,3,214656.431548
modis,mcd12q1,2005_lct1_reclass,143,5,1,214656.431548
modis,mcd12q1,2005_lct1_reclass,143,7,1,1823935698.861853
modis,mcd12q1,2005_lct1_reclass,143,7,2,5581067.220243
